train_loss,epoch,step,val_loss,val_acc,train_acc
0.6941855549812317,0,49,,,
0.6088317632675171,0,99,,,
0.5148016214370728,0,149,,,
0.520551860332489,0,199,,,
0.4987506568431854,0,249,,,
0.575430691242218,0,299,,,
0.6062871217727661,0,349,,,
0.45823803544044495,0,399,,,
0.4756021201610565,0,449,,,
,0,449,0.4812188744544983,0.7699999809265137,
,0,449,,,0.7241666913032532
0.5915261507034302,1,499,,,
0.4467959403991699,1,549,,,
0.5977213978767395,1,599,,,
0.30686086416244507,1,649,,,
0.4303506910800934,1,699,,,
0.5632219910621643,1,749,,,
0.36703044176101685,1,799,,,
0.6102133393287659,1,849,,,
0.703330397605896,1,899,,,
,1,899,0.4534928500652313,0.7925000190734863,
,1,899,,,0.7695833444595337
0.29736965894699097,2,949,,,
0.44663041830062866,2,999,,,
0.32076239585876465,2,1049,,,
0.549640417098999,2,1099,,,
0.432486891746521,2,1149,,,
0.3534093201160431,2,1199,,,
0.5901579856872559,2,1249,,,
0.4096592366695404,2,1299,,,
0.4556445777416229,2,1349,,,
,2,1349,0.4216706454753876,0.8206250071525574,
,2,1349,,,0.7996527552604675
0.48275822401046753,3,1399,,,
0.34235984086990356,3,1449,,,
0.39249229431152344,3,1499,,,
0.6227118968963623,3,1549,,,
0.2695266008377075,3,1599,,,
0.43802759051322937,3,1649,,,
0.3646002411842346,3,1699,,,
0.3843560218811035,3,1749,,,
0.3916345238685608,3,1799,,,
,3,1799,0.4331114590167999,0.8062499761581421,
,3,1799,,,0.8118749856948853
0.30176523327827454,4,1849,,,
0.42023879289627075,4,1899,,,
0.5374071002006531,4,1949,,,
0.4140928089618683,4,1999,,,
0.2979634702205658,4,2049,,,
0.269865483045578,4,2099,,,
0.24758337438106537,4,2149,,,
0.35771632194519043,4,2199,,,
0.36015889048576355,4,2249,,,
,4,2249,0.3876122534275055,0.8399999737739563,
,4,2249,,,0.8236111402511597
